,champions,wins
207,'Yasuo**Yone',354
208,'Jinx**MasterYi',353
209,'Caitlyn**Warwick',352
210,'Brand**Jhin',352
211,'Vayne**Xerath',351
212,'Xerath**Yone',351
213,'Leona**Yasuo',349
214,'Jinx**Teemo',349
215,'Jhin**Malphite',349
216,'Graves**Yasuo',349
217,'MissFortune**Xerath',349
218,'Graves**Lucian',348
219,'Darius**Jhin',348
220,'MasterYi**Yone',348
221,'Lux**Malphite',348
222,'Sylas**Thresh',348
223,'Morgana**Sett',347
224,'Caitlyn**Leona',347
225,'LeeSin**Morgana',346
226,'Xerath**Yasuo',346
227,'Lucian**Sett',345
228,'Lux**Nocturne',345
229,'Blitzcrank**Yone',344
230,'Blitzcrank**LeeSin',344
231,'Graves**Sylas',344
232,'Darius**MissFortune',344
233,'LeeSin**Leona',343
234,'Jax**Jhin',342
235,'Jhin**Nasus',342
236,'Jhin**Yuumi',342
237,'Yone**Yuumi',341
238,'Jhin**Katarina',341
239,'Camille**Ezreal',341
240,'LeeSin**Samira',341
241,'Ashe**Kayn',341
242,'Graves**Leona',340
243,'Ashe**Sett',338
244,'MissFortune**Nautilus',337
245,'LeeSin**Lulu',337
246,'Diana**Ezreal',337
247,'Ezreal**Jax',336
248,'Aphelios**Thresh',336
249,'Jhin**Khazix',336
250,'Camille**Jhin',335
251,'Ekko**Thresh',335
252,'Lux**Volibear',335
253,'MissFortune**Shaco',335
254,'Viego**Yone',334
255,'Ezreal**Mordekaiser',334
256,'Vayne**Warwick',334
257,'Graves**Kaisa',333
258,'Akali**Caitlyn',333
259,'Thresh**Viego',332
260,'Samira**Yasuo',332
261,'Kaisa**Kayn',332
262,'Morgana**Zed',332
263,'Graves**Yone',331
264,'Lucian**Yuumi',331
265,'Ekko**Lucian',331
266,'Lux**Sylas',330
267,'Ezreal**Warwick',330
268,'Tristana**Yasuo',330
269,'MasterYi**Sett',329
270,'Irelia**Morgana',329
271,'Ezreal**Nocturne',329
272,'Caitlyn**Shaco',329
273,'Shaco**Vayne',329
274,'Jhin**Zyra',328
275,'Irelia**Thresh',328
276,'Ezreal**Fiora',327
277,'Akali**Jinx',327
278,'Kaisa**Zed',326
279,'Akali**LeeSin',326
280,'Kayn**Thresh',325
281,'Ezreal**Viktor',324
282,'Jhin**Vi',324
283,'Leblanc**LeeSin',324
284,'Graves**Xerath',323
285,'Brand**MissFortune',323
286,'Alistar**Yasuo',323
287,'Jhin**Viktor',323
288,'Garen**Kaisa',323
289,'Ekko**Kaisa',322
290,'Leona**Tristana',322
291,'Jhin**Mordekaiser',322
292,'Jhin**Leblanc',322
293,'Lucian**Sylas',322
294,'Caitlyn**Jax',321
295,'Nautilus**Yasuo',321
296,'Graves**Morgana',321
297,'Lux**Talon',320
298,'Caitlyn**Vi',319
299,'Ashe**Irelia',319
300,'Thresh**Zed',319
301,'Teemo**Vayne',319
302,'Kayn**Lucian',318
303,'Twitch**Yuumi',318
304,'Warwick**Yasuo',317
305,'Nautilus**Samira',317
306,'Lulu**Yasuo',317
307,'MissFortune**Mordekaiser',315
308,'Jinx**Leona',315
309,'Jhin**Talon',315
310,'Jinx**Vi',315
311,'Blitzcrank**MissFortune',315
312,'Akali**MissFortune',314
313,'Kayn**Sett',314
314,'Caitlyn**Viktor',314
315,'MissFortune**Pyke',314
316,'Jhin**Senna',314
317,'MasterYi**Morgana',313
318,'LeeSin**Yuumi',313
319,'Jhin**Vex',312
320,'Ashe**Morgana',312
321,'Jinx**Pyke',312
322,'Sett**Viego',311
323,'Jhin**Nautilus',311
324,'Ekko**Sett',311
325,'Lucian**MasterYi',310
326,'Senna**Yone',310
327,'Nautilus**Vayne',310
328,'Kaisa**Morgana',310
329,'Lux**Mordekaiser',310
330,'Jax**MissFortune',310
331,'Lux**Tryndamere',308
332,'Lux**Samira',308
333,'Lux**XinZhao',308
334,'Jhin**Nocturne',308
335,'Teemo**Yone',308
336,'Jhin**Volibear',308
337,'Nami**Yasuo',307
338,'Lulu**Twitch',307
339,'Ekko**Irelia',307
340,'Ashe**Viego',307
341,'Sett**Yone',306
342,'Blitzcrank**Graves',304
343,'Garen**Yasuo',303
344,'Diana**Jhin',303
345,'Tristana**Yone',302
