,Unnamed: 0,Champion,pick,win,win_rate,bans,"Best Enemy, winRate","Worst Enemy, winRate"
103,103,MonkeyKing,2246.0,1136.0,50.57880676758682,,"('Illaoi', 80.0)","('Singed', 25.0)"
104,104,Gangplank,2243.0,1131.0,50.423539901917074,810.0,"('Sivir', 76.0)","('Olaf', 22.22222222222222)"
105,105,Garen,2197.0,1135.0,51.6613563950842,700.0,"('Neeko', 71.42857142857143)","('Quinn', 25.0)"
106,106,Corki,2194.0,1115.0,50.820419325432994,224.0,"('Varus', 72.41379310344827)","('Shyvana', 26.31578947368421)"
107,107,DrMundo,2173.0,1096.0,50.43718361711919,,"('Neeko', 81.81818181818183)","('Maokai', 28.125)"
108,108,Taliyah,2145.0,1108.0,51.65501165501164,343.0,"('Quinn', 69.23076923076923)","('AurelionSol', 16.666666666666664)"
109,109,FiddleSticks,2128.0,1078.0,50.657894736842096,,,
110,110,Cassiopeia,2114.0,1070.0,50.614947965941354,726.0,"('Shyvana', 75.0)","('Olaf', 23.52941176470588)"
111,111,Brand,2110.0,1024.0,48.530805687203795,524.0,"('Yorick', 85.71428571428571)","('Taliyah', 31.03448275862069)"
112,112,Maokai,2002.0,1057.0,52.7972027972028,231.0,"('Singed', 78.125)","('Urgot', 25.0)"
113,113,Lissandra,1997.0,992.0,49.674511767651474,406.0,"('AurelionSol', 80.0)","('Rammus', 16.666666666666664)"
114,114,Urgot,1995.0,1010.0,50.626566416040106,484.0,"('Maokai', 75.0)","('AurelionSol', 26.666666666666668)"
115,115,Warwick,1991.0,1030.0,51.73279758915118,914.0,"('Cassiopeia', 69.23076923076923)","('AurelionSol', 25.0)"
116,116,Kayle,1988.0,1010.0,50.80482897384306,508.0,"('Yorick', 85.71428571428571)","('Shyvana', 25.0)"
117,117,Chogath,1971.0,978.0,49.61948249619482,,"('Pantheon', 84.21052631578947)","('AurelionSol', 22.22222222222222)"
118,118,MasterYi,1961.0,919.0,46.86384497705254,,"('Illaoi', 77.77777777777779)","('Singed', 20.689655172413794)"
119,119,Rell,1959.0,1047.0,53.44563552833078,453.0,"('Malzahar', 81.25)","('Shyvana', 14.285714285714285)"
120,120,Ahri,1959.0,962.0,49.10668708524757,378.0,"('Rammus', 75.0)","('AurelionSol', 18.181818181818183)"
121,121,Anivia,1929.0,988.0,51.218247796785896,1821.0,"('AurelionSol', 100.0)","('Illaoi', 20.0)"
122,122,Amumu,1916.0,953.0,49.73903966597077,2942.0,"('Skarner', 100.0)","('Yorick', 14.285714285714285)"
123,123,Elise,1875.0,977.0,52.10666666666667,1745.0,"('Renekton', 67.56756756756756)","('Sejuani', 28.57142857142857)"
124,124,Ornn,1830.0,930.0,50.819672131147534,188.0,"('Shaco', 71.42857142857143)","('Illaoi', 30.76923076923077)"
125,125,Mordekaiser,1807.0,846.0,46.817930271167675,644.0,"('Singed', 69.6969696969697)","('Trundle', 28.888888888888886)"
126,126,Pantheon,1795.0,852.0,47.465181058495816,381.0,"('Sejuani', 72.72727272727273)","('Chogath', 15.789473684210526)"
127,127,Volibear,1794.0,877.0,48.885172798216274,384.0,"('Malzahar', 68.75)","('Sejuani', 27.77777777777778)"
128,128,Braum,1770.0,880.0,49.717514124293785,233.0,"('Neeko', 81.81818181818183)","('Illaoi', 14.285714285714285)"
129,129,Fizz,1768.0,871.0,49.264705882352935,1427.0,"('Yorick', 87.5)","('DrMundo', 27.586206896551722)"
130,130,Zyra,1604.0,844.0,52.618453865336654,440.0,"('Azir', 75.0)","('Quinn', 27.27272727272727)"
131,131,Annie,1583.0,779.0,49.210360075805426,453.0,"('Varus', 87.5)","('MasterYi', 27.27272727272727)"
132,132,Kalista,1565.0,774.0,49.45686900958466,218.0,"('Skarner', 100.0)","('Velkoz', 25.0)"
133,133,Nasus,1558.0,765.0,49.10141206675225,674.0,"('Rammus', 75.0)","('Ahri', 26.666666666666668)"
134,134,Swain,1517.0,764.0,50.362557679630854,389.0,"('Kled', 80.0)","('Rammus', 22.22222222222222)"
135,135,Gnar,1484.0,711.0,47.911051212938006,296.0,"('Rammus', 100.0)","('Ashe', 22.22222222222222)"
136,136,Kled,1451.0,713.0,49.13852515506547,382.0,"('Malzahar', 80.95238095238095)","('KogMaw', 18.181818181818183)"
137,137,KogMaw,1439.0,753.0,52.328005559416255,,"('Kled', 81.81818181818183)","('DrMundo', 33.33333333333333)"
