,champion,pick,win,win_rate,bans
108,Taliyah,2145.0,1108.0,51.65501165501165,343.0
109,FiddleSticks,2128.0,1078.0,50.6578947368421,
110,Cassiopeia,2114.0,1070.0,50.61494796594135,726.0
111,Brand,2110.0,1024.0,48.530805687203795,524.0
112,Maokai,2002.0,1057.0,52.7972027972028,231.0
113,Lissandra,1997.0,992.0,49.674511767651474,406.0
114,Urgot,1995.0,1010.0,50.6265664160401,484.0
115,Warwick,1991.0,1030.0,51.73279758915118,914.0
116,Kayle,1988.0,1010.0,50.804828973843065,508.0
117,Chogath,1971.0,978.0,49.61948249619482,
118,MasterYi,1961.0,919.0,46.86384497705253,
119,Rell,1959.0,1047.0,53.44563552833078,453.0
120,Ahri,1959.0,962.0,49.10668708524757,378.0
121,Anivia,1929.0,988.0,51.218247796785896,1821.0
122,Amumu,1916.0,953.0,49.73903966597077,2942.0
123,Elise,1875.0,977.0,52.10666666666667,1745.0
124,Ornn,1830.0,930.0,50.81967213114754,188.0
125,Mordekaiser,1807.0,846.0,46.81793027116768,644.0
126,Pantheon,1795.0,852.0,47.46518105849582,381.0
127,Volibear,1794.0,877.0,48.885172798216274,384.0
128,Braum,1770.0,880.0,49.717514124293785,233.0
129,Fizz,1768.0,871.0,49.26470588235294,1427.0
130,Zyra,1604.0,844.0,52.618453865336654,440.0
131,Annie,1583.0,779.0,49.21036007580543,453.0
132,Kalista,1565.0,774.0,49.456869009584665,218.0
133,Nasus,1558.0,765.0,49.101412066752246,674.0
134,Swain,1517.0,764.0,50.36255767963085,389.0
135,Gnar,1484.0,711.0,47.911051212938006,296.0
136,Kled,1451.0,713.0,49.13852515506547,382.0
137,KogMaw,1439.0,753.0,52.328005559416255,
138,Malzahar,1421.0,659.0,46.37579169598874,566.0
139,Velkoz,1405.0,677.0,48.18505338078292,
140,Sivir,1285.0,647.0,50.35019455252918,78.0
141,Heimerdinger,1265.0,677.0,53.51778656126483,377.0
142,Ivern,1262.0,648.0,51.347068145800314,547.0
143,Udyr,1207.0,584.0,48.384424192212094,424.0
144,Sejuani,1128.0,576.0,51.06382978723404,117.0
145,Taric,1125.0,567.0,50.4,157.0
146,Azir,1050.0,501.0,47.714285714285715,167.0
147,Shyvana,1017.0,517.0,50.835791543756145,130.0
148,Olaf,967.0,455.0,47.05274043433299,428.0
149,Varus,945.0,437.0,46.24338624338624,42.0
150,Quinn,840.0,448.0,53.333333333333336,180.0
