,champion,pick,win,win_rate,bans
94,Chogath,4135.0,2070.0,50.06045949214026,
95,Poppy,4102.0,2059.0,50.19502681618723,1922.0
96,Kindred,4038.0,1974.0,48.88558692421991,1630.0
97,Sivir,4029.0,2066.0,51.27823281211219,1143.0
98,Kayle,4004.0,2098.0,52.39760239760239,1276.0
99,Ryze,3991.0,1844.0,46.20395890754197,498.0
100,Fizz,3988.0,2070.0,51.90571715145437,7566.0
101,Urgot,3967.0,2036.0,51.32341820015125,3311.0
102,Evelynn,3851.0,1944.0,50.48039470267462,7174.0
103,Sion,3842.0,1950.0,50.754815200416445,607.0
104,Rakan,3801.0,1788.0,47.04025256511444,360.0
105,Kassadin,3786.0,1924.0,50.81880612783941,5384.0
106,Velkoz,3645.0,1842.0,50.53497942386831,
107,Gwen,3623.0,1648.0,45.48716533259729,5661.0
108,Anivia,3521.0,1767.0,50.184606645839246,4013.0
109,Malzahar,3500.0,1780.0,50.857142857142854,3699.0
110,FiddleSticks,3492.0,1769.0,50.658648339060704,
111,MonkeyKing,3475.0,1798.0,51.7410071942446,
112,Ornn,3399.0,1721.0,50.632538982053546,672.0
113,Rengar,3365.0,1592.0,47.31054977711738,1627.0
114,Varus,3346.0,1538.0,45.96533173939032,501.0
115,Gangplank,3251.0,1527.0,46.970163026761,1128.0
116,Annie,3188.0,1630.0,51.12923462986198,1683.0
117,Maokai,3109.0,1641.0,52.782245094885816,760.0
118,Syndra,3105.0,1478.0,47.60064412238325,802.0
119,Sona,3006.0,1640.0,54.55755156353958,337.0
120,Zilean,2975.0,1533.0,51.52941176470588,782.0
121,Gnar,2946.0,1401.0,47.55600814663951,1799.0
122,Kennen,2934.0,1480.0,50.44308111792775,839.0
123,Zoe,2889.0,1359.0,47.0404984423676,1419.0
124,Orianna,2869.0,1409.0,49.111188567445105,372.0
125,Janna,2808.0,1413.0,50.32051282051282,232.0
126,Neeko,2799.0,1371.0,48.98177920685959,622.0
127,Elise,2777.0,1428.0,51.42239827151602,4743.0
128,Gragas,2724.0,1339.0,49.155653450807634,258.0
129,Yorick,2685.0,1375.0,51.21042830540037,2186.0
130,Rammus,2670.0,1318.0,49.36329588014981,3581.0
131,Bard,2667.0,1361.0,51.03112110986127,453.0
132,Illaoi,2659.0,1310.0,49.266641594584435,4089.0
133,Udyr,2651.0,1312.0,49.490758204451154,4498.0
134,Cassiopeia,2623.0,1338.0,51.01029355699581,1416.0
135,KogMaw,2540.0,1366.0,53.77952755905512,
136,Shyvana,2495.0,1317.0,52.78557114228457,511.0
137,Heimerdinger,2474.0,1229.0,49.676637025060636,1513.0
138,Braum,2419.0,1255.0,51.88094253823894,432.0
139,Rumble,2224.0,1089.0,48.9658273381295,1016.0
140,Singed,2166.0,1074.0,49.584487534626035,329.0
141,Karthus,2165.0,1103.0,50.94688221709007,1099.0
142,Olaf,2089.0,980.0,46.91239827668741,2192.0
143,Lissandra,1983.0,1009.0,50.88250126071608,590.0
144,Sejuani,1976.0,977.0,49.44331983805668,241.0
145,Kalista,1974.0,953.0,48.27760891590679,353.0
146,Rell,1929.0,1012.0,52.46241575946085,1775.0
147,Kled,1872.0,978.0,52.243589743589745,810.0
148,Quinn,1865.0,944.0,50.616621983914214,1137.0
149,Corki,1822.0,905.0,49.670691547749726,363.0
150,RekSai,1697.0,824.0,48.556275780789626,
151,Taliyah,1416.0,726.0,51.271186440677965,320.0
152,Azir,1346.0,603.0,44.79940564635959,219.0
153,Ivern,1161.0,575.0,49.52627045650301,406.0
154,Taric,1124.0,580.0,51.60142348754449,145.0
155,Skarner,864.0,443.0,51.27314814814815,224.0
156,AurelionSol,703.0,338.0,48.079658605974394,
157,Master Yi,,,,20515.0
158,None,,,,19757.0
159,Lee Sin,,,,16784.0
160,LeBlanc,,,,14092.0
161,Tahm Kench,,,,10140.0
162,Kha'Zix,,,,7142.0
163,Miss Fortune,,,,6300.0
164,Xin Zhao,,,,6142.0
165,Kai'Sa,,,,5048.0
166,Dr. Mundo,,,,4609.0
167,Fiddlesticks,,,,2144.0
168,Wukong,,,,1850.0
169,Nunu & Willump,,,,1836.0
170,Jarvan IV,,,,1657.0
171,Cho'Gath,,,,1500.0
172,Rek'Sai,,,,895.0
173,Vel'Koz,,,,804.0
174,Kog'Maw,,,,765.0
175,Twisted Fate,,,,457.0
176,Aurelion Sol,,,,249.0
