,Champion,Against,VS. Times,VS. Won,VS. Win Rate
129,Yasuo,Graves,873,434,49.71363115693013
130,Jinx,Yasuo,822,434,52.798053527980535
131,Jhin,Leblanc,835,434,51.97604790419162
132,Jinx,Jayce,838,433,51.67064439140812
133,Viktor,Yone,848,433,51.061320754716974
134,Viego,Yone,889,431,48.4814398200225
135,Nami,Lucian,848,431,50.82547169811321
136,Lulu,Jinx,831,430,51.74488567990373
137,Lucian,Lulu,920,429,46.630434782608695
138,Yone,Yasuo,923,429,46.478873239436616
139,Jinx,Vayne,906,427,47.13024282560706
140,Ekko,Graves,853,427,50.058616647127785
141,Graves,Ekko,853,426,49.941383352872215
142,Viego,Lucian,790,421,53.291139240506325
143,Jinx,Irelia,712,420,58.98876404494382
144,Zed,Graves,798,420,52.63157894736842
145,Lucian,LeeSin,877,420,47.890535917901936
146,Aphelios,Jinx,885,419,47.344632768361585
147,Yone,Lucian,815,419,51.41104294478528
148,Talon,Yone,763,417,54.6526867627785
149,Qiyana,Jhin,803,417,51.93026151930261
150,Lucian,Nami,848,417,49.174528301886795
151,Jhin,Leona,831,416,50.06016847172082
152,Leona,Jhin,831,415,49.939831528279186
153,Jayce,Graves,858,415,48.36829836829837
154,Yone,Viktor,848,415,48.93867924528302
155,Lulu,Ezreal,797,415,52.0702634880803
156,Lulu,Caitlyn,815,413,50.67484662576687
157,LeeSin,Lulu,854,412,48.24355971896955
158,Thresh,Jinx,854,411,48.12646370023419
159,Ezreal,Caitlyn,848,410,48.34905660377358
160,Camille,Yone,808,408,50.495049504950494
161,Graves,Nami,851,408,47.94359576968273
162,Graves,Rakan,757,408,53.89696169088507
163,Lulu,Thresh,786,407,51.781170483460556
164,Jayce,Jinx,838,405,48.32935560859188
165,Graves,Sylas,726,405,55.78512396694215
166,Jinx,Camille,788,404,51.26903553299492
167,Jhin,Akali,759,403,53.0961791831357
168,Thresh,Yone,780,403,51.66666666666667
169,Caitlyn,Lulu,815,402,49.325153374233125
170,LeeSin,Lux,869,401,46.14499424626007
171,Leblanc,Jhin,835,401,48.02395209580838
172,Jinx,Lulu,831,401,48.25511432009627
173,Talon,Lucian,761,401,52.693823915900126
174,Yone,Camille,808,400,49.504950495049506
175,Camille,Ezreal,772,400,51.813471502590666
176,Jayce,LeeSin,786,399,50.76335877862596
177,Viktor,LeeSin,710,399,56.19718309859155
178,Graves,Irelia,755,399,52.847682119205295
179,Yone,Lulu,898,398,44.32071269487751
180,Ezreal,Viego,768,398,51.822916666666664
181,Caitlyn,Lucian,752,398,52.92553191489362
182,Yone,Caitlyn,844,396,46.91943127962085
183,Viktor,Caitlyn,740,396,53.51351351351351
184,Jinx,Talon,782,396,50.63938618925832
185,Lucian,Yone,815,396,48.58895705521473
186,Talon,Ezreal,730,394,53.97260273972603
187,Lux,Lulu,846,392,46.335697399527184
188,Lulu,Talon,745,391,52.48322147651007
189,Vex,Jhin,774,391,50.51679586563308
190,Lux,Lucian,754,389,51.591511936339515
191,Lux,Ezreal,753,389,51.66002656042497
192,Lulu,Viego,738,389,52.710027100271006
193,Yasuo,Jinx,822,388,47.201946472019465
194,Irelia,Yone,733,388,52.9331514324693
195,LeeSin,Jayce,786,387,49.23664122137404
196,Zed,LeeSin,749,387,51.66889185580774
197,Talon,Viego,760,386,50.78947368421053
198,Talon,Jinx,782,386,49.36061381074169
199,Jhin,Qiyana,803,386,48.06973848069738
200,Lux,Yone,760,385,50.6578947368421
201,Camille,Jinx,788,384,48.73096446700508
202,Lucian,Jinx,870,384,44.13793103448276
203,Jhin,Vex,774,383,49.48320413436693
204,Ezreal,Lulu,797,382,47.9297365119197
205,Ezreal,Vayne,828,382,46.13526570048309
206,Camille,Viego,757,382,50.46235138705416
207,Viktor,Graves,707,381,53.88967468175389
208,Camille,Lucian,746,381,51.07238605898124
209,Viktor,Lux,732,381,52.04918032786885
210,Caitlyn,Viego,732,380,51.91256830601093
211,Thresh,Lulu,786,379,48.218829516539444
212,Graves,Zed,798,378,47.368421052631575
213,Camille,Lulu,748,377,50.40106951871658
214,Yone,Thresh,780,377,48.333333333333336
215,Viego,Camille,757,375,49.53764861294584
216,Graves,MissFortune,737,375,50.88195386702849
217,LeeSin,Caitlyn,812,375,46.18226600985222
218,Nami,LeeSin,689,375,54.426705370101594
219,Yone,Lux,760,375,49.34210526315789
220,Viego,Talon,760,374,49.21052631578947
221,LeeSin,Camille,825,374,45.33333333333333
222,Ezreal,Thresh,741,374,50.472334682860996
223,Ezreal,Camille,772,372,48.18652849740933
224,Jayce,Yone,728,372,51.098901098901095
225,Jhin,Yuumi,724,371,51.24309392265194
226,Lulu,Camille,748,371,49.59893048128342
227,Pyke,Jhin,713,371,52.033660589060304
228,Viego,Ezreal,768,370,48.17708333333333
229,Viego,Lux,723,370,51.17565698478561
230,Lucian,Viego,790,369,46.70886075949367
231,LeeSin,Yasuo,729,368,50.48010973936899
232,Viktor,Jayce,660,368,55.757575757575765
233,Ezreal,Yasuo,720,368,51.11111111111111
234,Thresh,Ezreal,741,367,49.527665317139004
235,Lulu,Yasuo,680,366,53.8235294117647
236,Lucian,Lux,754,365,48.40848806366048
237,Lucian,Camille,746,365,48.92761394101876
238,Nami,Lux,727,364,50.06877579092159
239,Ezreal,Lux,753,364,48.33997343957503
240,Camille,Lux,670,363,54.179104477611936
241,Lux,Nami,727,363,49.93122420907841
242,Jhin,Jax,694,363,52.305475504322764
243,Aphelios,Graves,799,362,45.30663329161452
244,Thresh,Caitlyn,701,362,51.64051355206848
245,LeeSin,Zed,749,362,48.33110814419226
246,Irelia,LeeSin,675,362,53.629629629629626
247,MissFortune,Graves,737,362,49.11804613297151
248,Lux,Thresh,678,361,53.2448377581121
249,Vayne,Yone,677,361,53.32348596750369
250,Yasuo,LeeSin,729,361,49.519890260631
251,Graves,Leona,705,361,51.205673758865245
252,LeeSin,Aphelios,657,360,54.794520547945204
253,Lucian,Talon,761,360,47.306176084099874
254,Thresh,Lucian,693,360,51.94805194805194
255,Talon,Lux,681,359,52.71659324522761
256,Vayne,Caitlyn,700,356,50.857142857142854
257,Jinx,Nami,680,356,52.352941176470594
258,Graves,Vayne,712,356,50.0
259,Ezreal,Zed,701,356,50.78459343794579
260,Irelia,Graves,755,356,47.152317880794705
261,Vayne,Graves,712,356,50.0
262,Akali,Jhin,759,356,46.9038208168643
263,Yone,Jayce,728,356,48.9010989010989
264,Lucian,Caitlyn,752,354,47.07446808510639
265,Camille,Jax,663,354,53.39366515837104
266,Talon,Lulu,745,354,47.51677852348993
267,Yuumi,Jhin,724,353,48.75690607734807
268,Yasuo,Caitlyn,696,353,50.7183908045977
269,Lucian,Aphelios,665,353,53.0827067669173
270,Viego,Yasuo,701,353,50.35663338088445
271,Lux,Viego,723,353,48.82434301521438
272,Nidalee,Jhin,678,352,51.91740412979351
273,Lulu,Karma,656,352,53.65853658536586
274,Yasuo,Ezreal,720,352,48.888888888888886
275,Viego,Caitlyn,732,352,48.08743169398907
276,Jhin,TwistedFate,677,352,51.994091580502214
277,Lux,Viktor,732,351,47.950819672131146
278,Graves,Leblanc,640,351,54.84375
279,Viktor,Ezreal,641,351,54.75819032761311
280,Camille,Caitlyn,657,350,53.272450532724505
281,LeeSin,Rakan,699,350,50.07153075822603
282,Vayne,LeeSin,663,349,52.6395173453997
283,Rakan,LeeSin,699,349,49.92846924177397
284,Rakan,Graves,757,349,46.10303830911493
285,Viego,Lulu,738,349,47.289972899729
286,Lucian,MissFortune,676,348,51.4792899408284
287,Yasuo,Viego,701,348,49.64336661911555
288,Jayce,Irelia,696,348,50.0
289,Draven,Jhin,693,348,50.21645021645021
290,Irelia,Jayce,696,348,50.0
291,Caitlyn,Jayce,674,347,51.48367952522255
292,Yone,Talon,763,346,45.34731323722149
293,Vayne,Yasuo,621,346,55.716586151368766
294,Ekko,LeeSin,689,346,50.2177068214804
295,Camille,Talon,684,345,50.43859649122807
296,Zed,Ezreal,701,345,49.21540656205421
297,Jhin,Draven,693,345,49.78354978354979
298,Yone,Irelia,733,345,47.0668485675307
299,Lulu,Ekko,617,345,55.91572123176661
300,Caitlyn,Viktor,740,344,46.48648648648649
301,Caitlyn,Vayne,700,344,49.142857142857146
302,Leona,Graves,705,344,48.79432624113475
303,Jinx,Rakan,638,344,53.91849529780565
304,Sylas,LeeSin,637,343,53.84615384615385
305,LeeSin,Ekko,689,343,49.782293178519595
306,Lux,Caitlyn,669,343,51.270553064275035
307,Caitlyn,Yasuo,696,343,49.2816091954023
308,Yasuo,Lucian,664,342,51.50602409638554
309,Jhin,Pyke,713,342,47.96633941093969
310,XinZhao,Jhin,656,341,51.981707317073166
311,Jhin,Syndra,602,340,56.47840531561462
312,Jinx,Zed,662,340,51.3595166163142
313,Hecarim,Jhin,623,340,54.574638844301774
314,Viktor,Thresh,625,340,54.400000000000006
315,Talon,Caitlyn,656,340,51.829268292682926
316,Talon,Camille,684,339,49.56140350877193
317,Nami,Ezreal,660,339,51.36363636363637
318,Rakan,Yone,651,339,52.07373271889401
319,Caitlyn,Thresh,701,339,48.35948644793152
320,Viktor,Viego,652,339,51.99386503067485
321,Jinx,Yuumi,596,338,56.711409395973156
322,Thresh,Viego,672,338,50.297619047619044
323,Rakan,Lucian,656,338,51.52439024390244
324,Qiyana,Graves,648,336,51.85185185185185
325,Jayce,Lux,643,336,52.255054432348366
326,Ezreal,Talon,730,336,46.02739726027397
327,Jayce,Lucian,664,336,50.602409638554214
328,Sylas,Jinx,665,335,50.37593984962406
329,Viego,Thresh,672,334,49.702380952380956
330,Lucian,Thresh,693,333,48.05194805194805
331,Yuumi,Graves,640,332,51.87500000000001
332,Nami,Viego,634,332,52.36593059936908
333,Lulu,Viktor,638,332,52.03761755485894
334,Jax,Jhin,694,331,47.69452449567723
335,Xayah,Lucian,641,331,51.6380655226209
336,Rakan,Thresh,641,331,51.6380655226209
337,Jinx,Sylas,665,330,49.62406015037594
338,Jayce,Lulu,628,329,52.38853503184714
339,Viktor,Irelia,578,329,56.92041522491349
340,MissFortune,Lucian,676,328,48.5207100591716
341,Fiora,Jhin,635,328,51.653543307086615
342,LeeSin,Leblanc,629,328,52.14626391096979
343,Lucian,Jayce,664,328,49.39759036144578
344,Jayce,Caitlyn,674,327,48.516320474777444
345,Nami,Yone,633,327,51.65876777251185
346,Lulu,Rakan,632,327,51.74050632911392
347,Jhin,Nidalee,678,326,48.08259587020649
348,Ekko,Yone,621,326,52.49597423510467
349,Graves,Viktor,707,326,46.11032531824611
350,Caitlyn,Lux,669,326,48.729446935724965
351,TwistedFate,Jhin,677,325,48.005908419497786
352,Zed,Yone,635,325,51.181102362204726
353,Camille,Thresh,650,325,50.0
354,Thresh,Camille,650,325,50.0
355,Jinx,Ekko,605,325,53.71900826446281
