,Champion,Against,VS. Times,VS. Won,VS. Win Rate
3862,Yasuo,Ziggs,224,106,47.32142857142857
3863,Blitzcrank,Nidalee,218,106,48.62385321100918
3864,Lillia,Lucian,237,106,44.72573839662447
3865,Khazix,Vex,195,106,54.35897435897436
3866,Riven,Zed,206,106,51.45631067961165
3867,Rumble,Jinx,220,106,48.18181818181818
3868,Yuumi,Katarina,202,106,52.475247524752476
3869,Jax,TwistedFate,223,106,47.53363228699551
3870,MissFortune,Poppy,215,106,49.30232558139535
3871,Rakan,Senna,193,106,54.92227979274611
3872,Graves,Urgot,203,106,52.21674876847291
3873,Karma,Sona,218,106,48.62385321100918
3874,MissFortune,Twitch,215,106,49.30232558139535
3875,Qiyana,Twitch,205,106,51.707317073170735
3876,Kassadin,Karma,193,106,54.92227979274611
3877,Nocturne,Yone,218,106,48.62385321100918
3878,Sona,Sylas,227,106,46.69603524229075
3879,Sett,Xayah,211,106,50.23696682464455
3880,Lulu,Sion,183,106,57.92349726775956
3881,Zed,Shen,197,106,53.80710659898477
3882,TwistedFate,Vex,218,106,48.62385321100918
3883,Riven,Thresh,223,106,47.53363228699551
3884,Rakan,Aatrox,198,106,53.535353535353536
3885,Yone,Nunu,213,106,49.76525821596244
3886,XinZhao,Kaisa,176,106,60.22727272727273
3887,LeeSin,Nunu,226,106,46.902654867256636
3888,Yone,TahmKench,209,106,50.717703349282296
3889,Sona,Yasuo,220,106,48.18181818181818
3890,Morgana,Blitzcrank,216,106,49.074074074074076
3891,Yuumi,Akshan,217,106,48.8479262672811
3892,Rakan,Katarina,198,106,53.535353535353536
3893,Soraka,Jayce,226,106,46.902654867256636
3894,Maokai,LeeSin,187,106,56.68449197860963
3895,Jax,Kaisa,178,106,59.55056179775281
3896,Viego,MonkeyKing,187,106,56.68449197860963
3897,Jayce,Ziggs,196,106,54.08163265306123
3898,MissFortune,Riven,196,106,54.08163265306123
3899,Camille,Morgana,198,106,53.535353535353536
3900,Irelia,Sona,217,106,48.8479262672811
3901,Yone,Tristana,215,106,49.30232558139535
3902,Pyke,Jax,215,106,49.30232558139535
3903,Blitzcrank,XinZhao,187,106,56.68449197860963
3904,Veigar,Lulu,233,106,45.493562231759654
3905,MissFortune,Darius,213,106,49.76525821596244
3906,Gwen,Viktor,221,106,47.963800904977376
3907,Lulu,Nocturne,196,106,54.08163265306123
3908,Amumu,Ezreal,190,106,55.78947368421052
3909,Ryze,Thresh,240,106,44.166666666666664
3910,Sylas,Kassadin,235,106,45.1063829787234
3911,Yasuo,Karthus,239,106,44.35146443514644
3912,Samira,Viego,220,106,48.18181818181818
3913,MonkeyKing,Ezreal,205,106,51.707317073170735
3914,Qiyana,Kassadin,184,106,57.608695652173914
3915,Zoe,Leblanc,197,105,53.299492385786806
3916,Teemo,Lux,230,105,45.65217391304348
3917,TahmKench,Lulu,217,105,48.38709677419355
3918,Sion,Graves,233,105,45.06437768240343
3919,TahmKench,Vayne,246,105,42.68292682926829
3920,Soraka,Xayah,185,105,56.75675675675676
3921,Zac,Ekko,190,105,55.26315789473685
3922,Blitzcrank,Jax,226,105,46.46017699115044
3923,Kennen,Ekko,206,105,50.970873786407765
3924,Yasuo,Sion,198,105,53.03030303030303
3925,Rakan,Alistar,197,105,53.299492385786806
3926,Yasuo,Tristana,193,105,54.40414507772021
3927,Corki,Jinx,210,105,50.0
3928,Twitch,Aphelios,188,105,55.85106382978723
3929,Malphite,Ekko,186,105,56.451612903225815
3930,Nidalee,Pyke,189,105,55.55555555555556
3931,Vi,Thresh,196,105,53.57142857142857
3932,Janna,Jayce,186,105,56.451612903225815
3933,Talon,Shaco,219,105,47.94520547945205
3934,Kalista,Jhin,215,105,48.837209302325576
3935,Sylas,Janna,194,105,54.123711340206185
3936,JarvanIV,Vayne,214,105,49.06542056074766
3937,Jinx,Corki,210,105,50.0
3938,Teemo,Ekko,199,105,52.76381909547738
3939,Viego,Rengar,207,105,50.72463768115942
3940,Senna,Yuumi,201,105,52.23880597014925
3941,Khazix,Kayn,195,105,53.84615384615385
3942,Rengar,Camille,224,105,46.875
3943,Ekko,JarvanIV,200,105,52.5
3944,Viego,Alistar,232,105,45.258620689655174
3945,Katarina,Qiyana,184,105,57.065217391304344
3946,Bard,Irelia,219,105,47.94520547945205
3947,Rakan,Nautilus,206,105,50.970873786407765
3948,Senna,Zed,217,105,48.38709677419355
3949,Taliyah,LeeSin,208,105,50.480769230769226
3950,Sylas,Poppy,236,105,44.49152542372881
3951,Ekko,Tristana,205,105,51.21951219512195
3952,Shen,Rakan,208,105,50.480769230769226
3953,Zoe,Yasuo,194,105,54.123711340206185
3954,Fiora,Sett,198,105,53.03030303030303
3955,Gragas,Nami,207,105,50.72463768115942
3956,Trundle,Lucian,179,105,58.659217877094974
3957,Yuumi,Fiora,237,105,44.303797468354425
3958,Yuumi,TwistedFate,225,105,46.666666666666664
3959,MissFortune,Syndra,206,105,50.970873786407765
3960,Ornn,Jhin,222,105,47.2972972972973
3961,Nunu,Camille,208,105,50.480769230769226
3962,Leona,Bard,197,105,53.299492385786806
3963,Sion,Viego,206,105,50.970873786407765
3964,Xayah,Sett,211,105,49.763033175355446
3965,Fiora,Nidalee,191,105,54.973821989528794
3966,Ryze,Viktor,255,105,41.17647058823529
3967,Caitlyn,TahmKench,213,105,49.29577464788733
3968,Kassadin,Zed,209,105,50.23923444976076
3969,Xayah,XinZhao,215,105,48.837209302325576
3970,Seraphine,Lucian,203,105,51.724137931034484
3971,Nami,Diana,200,105,52.5
3972,Morgana,Viego,198,105,53.03030303030303
3973,Caitlyn,Samira,212,105,49.528301886792455
3974,Soraka,Yuumi,224,105,46.875
3975,Renekton,Rakan,207,104,50.24154589371981
3976,Vi,Vayne,227,104,45.81497797356828
3977,Qiyana,Galio,189,104,55.026455026455025
3978,Lulu,Vi,207,104,50.24154589371981
3979,Rakan,Ziggs,216,104,48.148148148148145
3980,Lux,Evelynn,194,104,53.608247422680414
3981,Tryndamere,Ekko,205,104,50.73170731707317
3982,Darius,Ekko,211,104,49.28909952606635
3983,Sylas,Syndra,206,104,50.48543689320388
3984,Syndra,Leblanc,202,104,51.48514851485149
3985,Galio,Karma,192,104,54.166666666666664
3986,Viego,Vi,220,104,47.27272727272727
3987,Teemo,Caitlyn,218,104,47.706422018348626
3988,Rakan,Riven,212,104,49.056603773584904
3989,Karma,Ryze,183,104,56.830601092896174
3990,TahmKench,Nami,204,104,50.98039215686274
3991,Cassiopeia,LeeSin,187,104,55.61497326203209
3992,Soraka,Pyke,203,104,51.231527093596064
3993,Taliyah,Lucian,188,104,55.319148936170215
3994,Kennen,Camille,222,104,46.846846846846844
3995,TwistedFate,Nidalee,199,104,52.26130653266332
3996,Malphite,Talon,217,104,47.926267281105986
3997,Xayah,Jax,234,104,44.44444444444444
3998,FiddleSticks,Graves,201,104,51.741293532338304
3999,Blitzcrank,Vex,224,104,46.42857142857143
4000,Tryndamere,Aphelios,182,104,57.14285714285714
4001,Akali,Yuumi,228,104,45.614035087719294
4002,Pyke,Xayah,226,104,46.017699115044245
4003,Kayn,Viktor,236,104,44.06779661016949
4004,Draven,Kindred,181,104,57.4585635359116
4005,Ekko,Kassadin,226,104,46.017699115044245
4006,Nunu,Lulu,224,104,46.42857142857143
4007,Rakan,Gwen,187,104,55.61497326203209
4008,TahmKench,Viego,203,104,51.231527093596064
4009,Kindred,Ekko,222,104,46.846846846846844
4010,Gwen,Talon,223,104,46.63677130044843
4011,Shaco,Jayce,185,104,56.21621621621622
4012,Hecarim,Sett,215,104,48.372093023255815
4013,Karma,Kaisa,181,104,57.4585635359116
4014,Khazix,Leblanc,196,104,53.06122448979592
4015,Nami,Gwen,215,104,48.372093023255815
4016,Camille,Vi,186,104,55.91397849462365
4017,Sona,Vayne,222,104,46.846846846846844
4018,Jinx,Ornn,185,104,56.21621621621622
4019,Jax,Hecarim,200,104,52.0
4020,Nocturne,LeeSin,196,104,53.06122448979592
4021,Xerath,Karma,231,104,45.02164502164502
4022,Vayne,Kennen,182,104,57.14285714285714
4023,XinZhao,Leblanc,193,104,53.8860103626943
4024,Gragas,Vayne,218,104,47.706422018348626
4025,Viktor,Samira,182,104,57.14285714285714
4026,Zed,Gwen,203,104,51.231527093596064
4027,Irelia,Ryze,184,104,56.52173913043478
4028,Rumble,Yone,205,104,50.73170731707317
4029,Twitch,Draven,206,104,50.48543689320388
4030,Gwen,Lulu,249,104,41.76706827309237
4031,Leblanc,Katarina,217,104,47.926267281105986
4032,MissFortune,Kindred,215,104,48.372093023255815
4033,Aatrox,Aphelios,212,104,49.056603773584904
4034,Evelynn,Caitlyn,207,104,50.24154589371981
4035,Gangplank,Lucian,214,104,48.598130841121495
4036,Irelia,Aatrox,201,104,51.741293532338304
4037,Bard,Draven,167,104,62.27544910179641
4038,Kaisa,Aphelios,225,104,46.22222222222222
4039,Yone,Brand,187,104,55.61497326203209
4040,Zilean,Yuumi,178,104,58.42696629213483
4041,Rakan,Vladimir,200,104,52.0
4042,Zed,Kassadin,209,104,49.760765550239235
4043,Teemo,Camille,189,103,54.4973544973545
4044,Graves,Braum,199,103,51.75879396984925
4045,Thresh,Veigar,179,103,57.54189944134078
4046,Lillia,LeeSin,213,103,48.35680751173709
4047,Khazix,Leona,193,103,53.36787564766839
4048,Xayah,Syndra,191,103,53.92670157068062
4049,Evelynn,LeeSin,217,103,47.465437788018434
4050,Pyke,Hecarim,219,103,47.03196347031963
4051,Caitlyn,Lillia,215,103,47.906976744186046
4052,Thresh,Braum,182,103,56.59340659340659
4053,Graves,Amumu,200,103,51.5
4054,LeeSin,Teemo,224,103,45.982142857142854
4055,Jhin,Fizz,202,103,50.99009900990099
4056,Rumble,Ezreal,183,103,56.284153005464475
4057,Caitlyn,Evelynn,207,103,49.75845410628019
4058,Irelia,Lillia,183,103,56.284153005464475
4059,Ekko,Vladimir,228,103,45.17543859649123
4060,Shaco,Zed,211,103,48.81516587677725
4061,Nunu,Caitlyn,198,103,52.02020202020202
4062,Galio,Leblanc,193,103,53.36787564766839
4063,Ezreal,Teemo,203,103,50.73891625615764
4064,Caitlyn,Kennen,215,103,47.906976744186046
4065,Kindred,Karma,186,103,55.376344086021504
4066,TahmKench,Yone,209,103,49.282296650717704
4067,Rakan,Rengar,200,103,51.5
4068,Kindred,Xayah,187,103,55.080213903743314
4069,Rakan,Shen,208,103,49.519230769230774
4070,Leona,Galio,226,103,45.57522123893805
4071,Jax,Fiora,204,103,50.49019607843137
4072,Ziggs,Talon,218,103,47.24770642201835
4073,Vi,Lulu,207,103,49.75845410628019
4074,Aphelios,Galio,242,103,42.561983471074385
4075,Jhin,Annie,202,103,50.99009900990099
4076,Nautilus,Qiyana,202,103,50.99009900990099
4077,Corki,LeeSin,189,103,54.4973544973545
4078,Gwen,Yasuo,247,103,41.70040485829959
4079,Orianna,Lucian,190,103,54.21052631578947
4080,Yasuo,Zac,197,103,52.28426395939086
4081,Aphelios,Sona,215,103,47.906976744186046
4082,Kaisa,Leona,218,103,47.24770642201835
4083,Renekton,Lucian,232,103,44.396551724137936
4084,Kennen,Irelia,233,103,44.20600858369099
4085,Talon,Ashe,191,103,53.92670157068062
4086,Karthus,Vex,194,103,53.09278350515464
4087,Lux,Trundle,213,103,48.35680751173709
4088,Rakan,Renekton,207,103,49.75845410628019
4089,Seraphine,Camille,191,103,53.92670157068062
4090,Zac,Nami,202,103,50.99009900990099
4091,Kassadin,Akali,211,103,48.81516587677725
4092,Bard,Zed,241,103,42.738589211618255
4093,Renekton,Ezreal,200,103,51.5
4094,TahmKench,Camille,212,103,48.58490566037736
4095,Camille,Nunu,208,103,49.519230769230774
4096,Blitzcrank,MissFortune,225,103,45.77777777777778
4097,LeeSin,Taliyah,208,103,49.519230769230774
4098,Darius,Yuumi,200,103,51.5
4099,Ryze,Sylas,192,103,53.645833333333336
4100,Talon,RekSai,197,102,51.776649746192895
4101,Rengar,Viego,207,102,49.275362318840585
4102,Yasuo,Teemo,189,102,53.96825396825397
4103,Poppy,Xayah,201,102,50.74626865671642
4104,Aphelios,Kassadin,200,102,51.0
4105,Thresh,Shaco,215,102,47.44186046511628
4106,Malphite,Jax,195,102,52.307692307692314
4107,Urgot,Jhin,238,102,42.857142857142854
4108,Leblanc,Zilean,185,102,55.13513513513514
4109,Akali,TwistedFate,218,102,46.788990825688074
4110,Bard,Ekko,216,102,47.22222222222222
4111,Irelia,Zac,190,102,53.68421052631579
4112,Yasuo,Kennen,214,102,47.66355140186916
4113,Draven,Twitch,206,102,49.51456310679612
4114,Gwen,Aphelios,174,102,58.620689655172406
4115,Soraka,Akali,163,102,62.57668711656442
4116,JarvanIV,Rakan,189,102,53.96825396825397
4117,Jax,Gragas,210,102,48.57142857142857
4118,Lux,Orianna,202,102,50.495049504950494
4119,Jinx,MasterYi,197,102,51.776649746192895
4120,Draven,Fiora,210,102,48.57142857142857
4121,Jinx,Diana,194,102,52.57731958762887
4122,Soraka,Kassadin,167,102,61.07784431137725
4123,Viego,Veigar,215,102,47.44186046511628
4124,Xayah,Janna,185,102,55.13513513513514
4125,Leblanc,Kassadin,237,102,43.037974683544306
4126,Katarina,Vex,189,102,53.96825396825397
4127,Sylas,Twitch,210,102,48.57142857142857
4128,Ekko,Ziggs,210,102,48.57142857142857
4129,Rakan,Khazix,220,102,46.36363636363636
4130,Janna,Aphelios,198,102,51.515151515151516
4131,Ryze,Viego,229,102,44.54148471615721
4132,Nami,Sion,188,102,54.25531914893617
4133,Syndra,Sylas,206,102,49.51456310679612
4134,Aphelios,Zilean,224,102,45.535714285714285
4135,Volibear,Jhin,211,102,48.34123222748815
4136,Chogath,Yone,193,102,52.84974093264248
4137,Shaco,Nami,219,102,46.57534246575342
4138,Nami,Gragas,207,102,49.275362318840585
4139,Trundle,Lulu,203,102,50.24630541871922
4140,Katarina,MissFortune,192,102,53.125
4141,Diana,Yone,182,102,56.043956043956044
4142,Xerath,Rakan,216,102,47.22222222222222
4143,Ivern,Jhin,181,102,56.353591160220994
4144,Talon,Evelynn,196,102,52.04081632653062
4145,Vladimir,Irelia,215,102,47.44186046511628
4146,Elise,LeeSin,190,102,53.68421052631579
4147,Akali,XinZhao,198,102,51.515151515151516
4148,Lucian,Sion,219,102,46.57534246575342
4149,Karma,Tryndamere,186,102,54.83870967741935
4150,Vayne,Kindred,212,101,47.64150943396226
4151,Syndra,MissFortune,206,101,49.029126213592235
4152,Poppy,Leona,210,101,48.095238095238095
4153,LeeSin,Sion,208,101,48.55769230769231
4154,Yasuo,Alistar,213,101,47.417840375586856
4155,Kindred,Nami,216,101,46.75925925925926
4156,Lulu,Trundle,203,101,49.75369458128079
4157,Sett,Nautilus,185,101,54.59459459459459
4158,Viego,Nocturne,195,101,51.7948717948718
4159,Malphite,Thresh,200,101,50.5
4160,Senna,Leblanc,185,101,54.59459459459459
4161,Bard,Sylas,195,101,51.7948717948718
4162,Malphite,Irelia,172,101,58.720930232558146
4163,Xayah,Bard,201,101,50.24875621890548
4164,Kayn,Yuumi,213,101,47.417840375586856
4165,Viktor,Nocturne,155,101,65.16129032258064
4166,Fiora,Jax,204,101,49.50980392156863
4167,Yone,Rumble,205,101,49.26829268292683
4168,RekSai,Caitlyn,178,101,56.74157303370787
4169,Alistar,Caitlyn,191,101,52.879581151832454
4170,Karthus,Akali,185,101,54.59459459459459
4171,Renekton,Talon,233,101,43.34763948497854
4172,Zoe,Sylas,196,101,51.53061224489795
4173,Darius,Talon,181,101,55.80110497237569
4174,MonkeyKing,Lux,188,101,53.72340425531915
4175,Soraka,Kayn,173,101,58.38150289017341
4176,Ekko,Tryndamere,205,101,49.26829268292683
4177,Leona,Renekton,188,101,53.72340425531915
4178,Samira,Jayce,177,101,57.06214689265536
4179,Senna,Ekko,219,101,46.118721461187214
4180,Viego,Sion,206,101,49.029126213592235
4181,Lux,Singed,187,101,54.01069518716578
4182,MissFortune,Teemo,177,101,57.06214689265536
4183,Irelia,Janna,231,101,43.722943722943725
4184,Yone,Sion,210,101,48.095238095238095
4185,MasterYi,Jhin,228,101,44.29824561403509
4186,Viktor,Sion,178,101,56.74157303370787
4187,Leblanc,Ryze,166,101,60.8433734939759
4188,Bard,Viktor,230,101,43.913043478260875
4189,Jayce,Sona,213,101,47.417840375586856
4190,Gangplank,Graves,215,101,46.97674418604651
4191,Pantheon,Ezreal,196,101,51.53061224489795
4192,Qiyana,Khazix,217,101,46.54377880184332
4193,Khazix,Xayah,192,101,52.604166666666664
4194,Kennen,Nami,221,101,45.70135746606335
4195,Soraka,Karthus,201,101,50.24875621890548
4196,Xayah,Gwen,159,101,63.52201257861635
4197,Sylas,Soraka,224,101,45.089285714285715
4198,Gwen,Sylas,190,101,53.1578947368421
4199,Ekko,Kennen,206,101,49.029126213592235
4200,Ekko,Lillia,186,101,54.3010752688172
4201,Ekko,Katarina,215,101,46.97674418604651
4202,Leblanc,Gragas,201,101,50.24875621890548
4203,Karthus,Xayah,209,101,48.32535885167464
4204,Zilean,Sylas,210,101,48.095238095238095
4205,Lucian,Teemo,227,101,44.49339207048458
4206,Alistar,Camille,210,101,48.095238095238095
4207,Blitzcrank,Aatrox,201,101,50.24875621890548
4208,Camille,Malphite,182,101,55.494505494505496
4209,Zac,Jayce,185,101,54.59459459459459
4210,Nautilus,Rakan,206,101,49.029126213592235
4211,Renekton,Lulu,231,101,43.722943722943725
4212,Twitch,Talon,231,100,43.290043290043286
4213,Poppy,Jayce,210,100,47.61904761904761
4214,Nunu,Nami,181,100,55.24861878453039
4215,Talon,Rumble,188,100,53.191489361702125
4216,Gragas,Qiyana,190,100,52.63157894736842
4217,Jinx,MonkeyKing,196,100,51.02040816326531
4218,Blitzcrank,Draven,191,100,52.35602094240838
4219,Rakan,Kassadin,207,100,48.309178743961354
4220,Garen,Lucian,179,100,55.865921787709496
4221,Nami,TahmKench,204,100,49.01960784313725
4222,Qiyana,XinZhao,198,100,50.505050505050505
4223,Jayce,Katarina,221,100,45.248868778280546
4224,Jayce,Bard,218,100,45.87155963302752
4225,Ekko,Shen,217,100,46.08294930875576
4226,Hecarim,Twitch,189,100,52.910052910052904
4227,Pantheon,Jhin,217,100,46.08294930875576
4228,Karthus,Soraka,201,100,49.75124378109453
4229,Blitzcrank,Kaisa,191,100,52.35602094240838
4230,Orianna,Lux,202,100,49.504950495049506
4231,Singed,Ezreal,212,100,47.16981132075472
4232,Vayne,Ryze,176,100,56.81818181818182
4233,Caitlyn,Diana,178,100,56.17977528089888
4234,MissFortune,JarvanIV,214,100,46.728971962616825
4235,FiddleSticks,Lucian,175,100,57.14285714285714
4236,Thresh,Shen,213,100,46.948356807511736
4237,Akshan,Pyke,192,100,52.083333333333336
4238,Chogath,Jhin,228,100,43.859649122807014
4239,LeeSin,TahmKench,216,100,46.2962962962963
4240,Evelynn,Lulu,198,100,50.505050505050505
4241,Tristana,Vayne,223,100,44.843049327354265
4242,Gragas,Leblanc,201,100,49.75124378109453
4243,Shen,Leona,169,100,59.171597633136095
4244,DrMundo,Yone,191,100,52.35602094240838
4245,Samira,Yasuo,215,100,46.51162790697674
4246,MissFortune,Gragas,182,100,54.94505494505495
4247,Zed,Riven,206,100,48.54368932038835
4248,Sett,Pyke,183,100,54.644808743169406
4249,Garen,Graves,211,100,47.39336492890995
4250,Bard,Xayah,201,100,49.75124378109453
4251,Yone,Orianna,196,100,51.02040816326531
4252,Kaisa,Vex,211,100,47.39336492890995
4253,Veigar,Talon,218,100,45.87155963302752
4254,Gangplank,Caitlyn,184,100,54.347826086956516
4255,Tristana,Ekko,205,100,48.78048780487805
4256,Karthus,Leona,179,100,55.865921787709496
4257,Aatrox,Blitzcrank,201,100,49.75124378109453
4258,Galio,Vex,179,100,55.865921787709496
4259,Katarina,Viktor,194,100,51.546391752577314
4260,Akali,Draven,217,100,46.08294930875576
4261,Karthus,Thresh,237,100,42.19409282700422
4262,Karthus,Leblanc,218,100,45.87155963302752
4263,Galio,Yuumi,168,100,59.523809523809526
4264,Nidalee,Xayah,199,100,50.25125628140703
4265,Teemo,Ezreal,203,100,49.26108374384236
4266,Rumble,Camille,190,100,52.63157894736842
4267,Zilean,Draven,164,100,60.97560975609756
4268,Senna,Pyke,174,100,57.47126436781609
4269,Zoe,Aphelios,209,100,47.84688995215311
4270,Bard,MissFortune,197,100,50.76142131979695
4271,Vex,Riven,167,100,59.88023952095808
4272,Draven,Sett,184,100,54.347826086956516
4273,Lucian,Morgana,191,100,52.35602094240838
4274,Singed,Ekko,183,100,54.644808743169406
4275,TwistedFate,Hecarim,195,99,50.76923076923077
4276,Twitch,Vex,179,99,55.3072625698324
4277,Lissandra,Graves,216,99,45.83333333333333
4278,Annie,Graves,183,99,54.09836065573771
4279,Ahri,Jinx,177,99,55.932203389830505
4280,Thresh,Alistar,207,99,47.82608695652174
4281,Thresh,Malphite,200,99,49.5
4282,Nocturne,Graves,219,99,45.20547945205479
4283,Vladimir,Aphelios,188,99,52.659574468085104
4284,Ryze,Lux,226,99,43.80530973451327
4285,Jayce,Galio,212,99,46.69811320754717
4286,Sion,Ezreal,215,99,46.04651162790698
4287,Pyke,Soraka,203,99,48.76847290640394
4288,Lux,TahmKench,180,99,55.00000000000001
4289,Karthus,Draven,194,99,51.03092783505154
4290,Lulu,Alistar,208,99,47.59615384615385
4291,Nunu,Lucian,207,99,47.82608695652174
4292,Tryndamere,MissFortune,185,99,53.51351351351351
4293,Leona,Twitch,214,99,46.26168224299065
4294,Vi,Viktor,214,99,46.26168224299065
4295,Zilean,Xayah,216,99,45.83333333333333
4296,Viego,TahmKench,203,99,48.76847290640394
4297,Fiora,Kayn,177,99,55.932203389830505
4298,JarvanIV,Vex,167,99,59.2814371257485
4299,Jhin,Swain,187,99,52.94117647058824
4300,MissFortune,Shen,213,99,46.478873239436616
4301,Leona,Morgana,241,99,41.078838174273855
4302,Gwen,Zed,203,99,48.76847290640394
4303,Hecarim,Kaisa,177,99,55.932203389830505
4304,Hecarim,Zilean,177,99,55.932203389830505
4305,Ekko,Poppy,206,99,48.05825242718447
4306,Galio,Pyke,190,99,52.10526315789473
4307,Sylas,Vladimir,192,99,51.5625
4308,Vi,Yasuo,190,99,52.10526315789473
4309,Nunu,Vayne,196,99,50.51020408163265
4310,Fizz,Jhin,202,99,49.00990099009901
4311,Sylas,Samira,193,99,51.29533678756477
4312,Ezreal,MonkeyKing,205,99,48.292682926829265
4313,Talon,Vi,171,99,57.89473684210527
4314,Qiyana,Nautilus,202,99,49.00990099009901
4315,Senna,Irelia,233,99,42.48927038626609
4316,Zed,Aatrox,170,99,58.235294117647065
4317,Nocturne,Jinx,219,99,45.20547945205479
4318,Veigar,Yone,194,99,51.03092783505154
4319,JarvanIV,Xayah,185,99,53.51351351351351
4320,Sylas,Xerath,189,99,52.38095238095239
4321,Veigar,Caitlyn,207,99,47.82608695652174
4322,Draven,Vex,212,99,46.69811320754717
4323,Nami,Zac,202,99,49.00990099009901
4324,Irelia,Galio,219,99,45.20547945205479
4325,TwistedFate,Sett,178,99,55.61797752808989
4326,Xayah,Poppy,201,99,49.25373134328358
4327,Tristana,Nami,191,99,51.832460732984295
4328,Nidalee,Vex,228,99,43.42105263157895
4329,Viego,Diana,196,99,50.51020408163265
4330,Nami,Morgana,182,99,54.395604395604394
4331,Xerath,Yuumi,193,99,51.29533678756477
4332,Alistar,Irelia,184,99,53.80434782608695
4333,Xayah,Nidalee,199,99,49.74874371859296
4334,Ryze,Ezreal,245,99,40.40816326530612
4335,Annie,Jhin,202,99,49.00990099009901
4336,Jax,Sett,177,99,55.932203389830505
4337,Ashe,Irelia,179,99,55.3072625698324
4338,Vladimir,Qiyana,192,99,51.5625
4339,Singed,Nami,184,99,53.80434782608695
4340,Ekko,Alistar,186,99,53.2258064516129
4341,Irelia,JarvanIV,186,99,53.2258064516129
4342,Jayce,Ashe,186,99,53.2258064516129
4343,Twitch,Qiyana,205,99,48.292682926829265
4344,Talon,Teemo,187,99,52.94117647058824
4345,Jax,Syndra,191,99,51.832460732984295
4346,Kennen,Jayce,213,99,46.478873239436616
4347,Qiyana,Xerath,196,98,50.0
4348,Shaco,Vayne,196,98,50.0
4349,Aphelios,Karthus,226,98,43.36283185840708
4350,Orianna,Lulu,194,98,50.51546391752577
4351,Thresh,Lillia,196,98,50.0
4352,Gnar,Jhin,207,98,47.34299516908212
4353,Jhin,Nasus,194,98,50.51546391752577
4354,Leona,Kayn,205,98,47.80487804878049
4355,Soraka,Hecarim,185,98,52.972972972972975
4356,MonkeyKing,Yone,185,98,52.972972972972975
4357,Rengar,Lulu,219,98,44.74885844748858
4358,Karma,Karthus,205,98,47.80487804878049
4359,Camille,Trundle,186,98,52.68817204301075
4360,Soraka,Fiora,195,98,50.256410256410255
4361,Akshan,Syndra,182,98,53.84615384615385
4362,TahmKench,Thresh,195,98,50.256410256410255
4363,TwistedFate,Draven,193,98,50.77720207253886
4364,Vayne,Shaco,196,98,50.0
4365,Vex,Aatrox,176,98,55.68181818181818
4366,Caitlyn,Warwick,195,98,50.256410256410255
4367,Evelynn,Zed,164,98,59.756097560975604
4368,Xerath,Qiyana,196,98,50.0
4369,Poppy,Vex,185,98,52.972972972972975
4370,XinZhao,Qiyana,198,98,49.494949494949495
4371,Akali,MissFortune,232,98,42.241379310344826
4372,Thresh,Sona,213,98,46.009389671361504
4373,Janna,Karma,228,98,42.98245614035088
4374,Jinx,KogMaw,187,98,52.406417112299465
4375,Urgot,Jinx,191,98,51.30890052356021
4376,Alistar,Talon,208,98,47.11538461538461
4377,Rakan,Ryze,183,98,53.551912568306015
4378,Lulu,Evelynn,198,98,49.494949494949495
4379,JarvanIV,Aphelios,183,98,53.551912568306015
4380,Jayce,Aatrox,222,98,44.14414414414414
4381,Leblanc,Ziggs,171,98,57.30994152046783
4382,Kassadin,Aphelios,200,98,49.0
4383,Soraka,Blitzcrank,193,98,50.77720207253886
4384,Corki,Lucian,169,98,57.98816568047337
4385,Sona,Rakan,177,98,55.367231638418076
4386,Lux,Samira,210,98,46.666666666666664
4387,Ziggs,Leona,190,98,51.578947368421055
4388,Singed,Yone,192,98,51.041666666666664
4389,DrMundo,Vayne,226,98,43.36283185840708
4390,Rakan,Kindred,190,98,51.578947368421055
4391,Lucian,Singed,214,98,45.794392523364486
4392,MissFortune,Morgana,196,98,50.0
4393,Nami,Malphite,191,98,51.30890052356021
4394,Seraphine,Viego,189,98,51.85185185185185
4395,Camille,Lillia,190,98,51.578947368421055
4396,FiddleSticks,Jinx,189,98,51.85185185185185
4397,Leblanc,Syndra,202,98,48.51485148514851
4398,Leona,Xerath,193,98,50.77720207253886
4399,Karma,Kayn,211,98,46.44549763033176
4400,Garen,Lux,193,98,50.77720207253886
4401,Aatrox,MissFortune,214,98,45.794392523364486
4402,MissFortune,Kennen,181,98,54.14364640883977
4403,Nidalee,Hecarim,180,98,54.44444444444444
4404,Hecarim,Nautilus,161,98,60.86956521739131
4405,Lucian,Seraphine,203,98,48.275862068965516
4406,Lillia,Thresh,196,98,50.0
4407,Akshan,Kayn,171,98,57.30994152046783
4408,Morgana,MissFortune,196,98,50.0
4409,XinZhao,TwistedFate,180,98,54.44444444444444
4410,Sylas,JarvanIV,214,98,45.794392523364486
4411,Leblanc,Nautilus,210,98,46.666666666666664
4412,Zed,Ziggs,192,98,51.041666666666664
4413,Kayn,Pyke,185,98,52.972972972972975
4414,Kennen,Leona,181,97,53.591160220994475
4415,MissFortune,Bard,197,97,49.23857868020304
4416,Caitlyn,Corki,204,97,47.549019607843135
4417,Anivia,Jinx,167,97,58.08383233532935
4418,Jayce,Tryndamere,188,97,51.59574468085106
4419,Leona,Kindred,192,97,50.520833333333336
4420,Samira,Talon,218,97,44.4954128440367
4421,Viktor,Malphite,162,97,59.876543209876544
